,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
199888,199888,http://www.billboard.com/charts/hot-100/1964-11-07,1964-11-07,63,So Long Dearie,Louis Armstrong (11-1964),So Long DearieLouis Armstrong,1,56.0,56,6,1964,11,7
200047,200047,http://www.billboard.com/charts/hot-100/1963-08-24,1963-08-24,65,Sometimes You Gotta Cry A Little,Bobby Bland (8-1963),Sometimes You Gotta Cry A LittleBobby Bland,1,56.0,56,6,1963,8,24
200281,200281,http://www.billboard.com/charts/hot-100/1969-05-24,1969-05-24,68,(We've Got) Honey Love,Martha Reeves & The Vandellas (5-1969),(We've Got) Honey LoveMartha Reeves & The Vandellas,1,56.0,56,6,1969,5,24
201116,201116,http://www.billboard.com/charts/hot-100/1960-06-18,1960-06-18,81,Always It's You,The Everly Brothers (6-1960),Always It's YouThe Everly Brothers,1,75.0,56,6,1960,6,18
201152,201152,http://www.billboard.com/charts/hot-100/1976-04-10,1976-04-10,82,Street Talk,B.C.G. (B.C. Generation) (4-1976),Street TalkB.C.G. (B.C. Generation),1,56.0,56,6,1976,4,10
201239,201239,http://www.billboard.com/charts/hot-100/1991-11-09,1991-11-09,84,Superman's Song,Crash Test Dummies (11-1991),Superman's SongCrash Test Dummies,1,56.0,56,6,1991,11,9
201410,201410,http://www.billboard.com/charts/hot-100/1979-11-03,1979-11-03,88,Starry Eyes,The Records (11-1979),Starry EyesThe Records,1,56.0,56,6,1979,11,3
201742,201742,http://www.billboard.com/charts/hot-100/1979-04-14,1979-04-14,98,At Midnight,T-Connection (4-1979),At MidnightT-Connection,1,56.0,56,6,1979,4,14
201816,201816,http://www.billboard.com/charts/hot-100/1977-02-19,1977-02-19,100,Dis-Gorilla (Part 1),Rick Dees & His Cast Of Idiots (2-1977),Dis-Gorilla (Part 1)Rick Dees & His Cast Of Idiots,1,67.0,56,6,1977,2,19
233069,233069,http://www.billboard.com/charts/hot-100/1973-09-29,1973-09-29,59,The Last Thing On My Mind,Neil Diamond (9-1973),The Last Thing On My MindNeil Diamond,1,56.0,56,6,1973,9,29
261547,261547,http://www.billboard.com/charts/hot-100/1967-09-30,1967-09-30,62,There's Always Me,Elvis Presley With The Jordanaires (9-1967),There's Always MeElvis Presley With The Jordanaires,1,56.0,56,6,1967,9,30
303176,303176,http://www.billboard.com/charts/hot-100/1968-07-20,1968-07-20,67,You Send Me,Aretha Franklin (7-1968),You Send MeAretha Franklin,1,56.0,56,6,1968,7,20
62399,62399,http://www.billboard.com/charts/hot-100/1976-10-02,1976-10-02,56,Goofus,Carpenters (10-1976),GoofusCarpenters,1,56.0,56,5,1976,10,2
62400,62400,http://www.billboard.com/charts/hot-100/1979-03-24,1979-03-24,56,It Hurts So Bad,Kim Carnes (3-1979),It Hurts So BadKim Carnes,1,56.0,56,5,1979,3,24
62887,62887,http://www.billboard.com/charts/hot-100/1966-06-11,1966-06-11,60,I Know You Better Than That,Bobby Goldsboro (6-1966),I Know You Better Than ThatBobby Goldsboro,1,56.0,56,5,1966,6,11
63009,63009,http://www.billboard.com/charts/hot-100/1968-03-09,1968-03-09,61,"Look, Here Comes The Sun",The Sunshine Company (3-1968),"Look, Here Comes The SunThe Sunshine Company",1,56.0,56,5,1968,3,9
63117,63117,http://www.billboard.com/charts/hot-100/1961-08-19,1961-08-19,62,I Never Knew,Clyde McPhatter (8-1961),I Never KnewClyde McPhatter,1,56.0,56,5,1961,8,19
64955,64955,http://www.billboard.com/charts/hot-100/1958-11-01,1958-11-01,82,Hoopa Hoola,Betty Johnson (11-1958),Hoopa HoolaBetty Johnson,1,78.0,56,5,1958,11,1
65427,65427,http://www.billboard.com/charts/hot-100/2008-06-21,2008-06-21,90,Move Shake Drop,DJ Laz Featuring Flo Rida & Casely (6-2008),Move Shake DropDJ Laz Featuring Flo Rida & Casely,1,86.0,56,5,2008,6,21
