,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
144385,Expression,Salt-N-Pepa (7-1990),21,0,1990,7,0.0
144384,Just Between You And Me,Lou Gramm (3-1990),21,0,1990,3,0.0
144383,House Of Pain,Faster Pussycat (7-1990),21,0,1990,7,0.0
144382,Everybody Dance,Ta Mara & The Seen (3-1986),21,0,1986,3,0.0
144381,I Was Made For Dancin',Leif Garrett (3-1979),21,0,1979,3,0.0
144380,Epic,Faith No More (11-1990),21,0,1990,11,0.0
144379,I Remember Holding You,Boys Club (3-1989),21,0,1989,3,0.0
144375,Ice Ice Baby,Vanilla Ice (1-1991),21,1,1991,1,0.05
258884,The Warrior,Scandal Featuring Patty Smyth (11-1984),21,0,1984,11,0.0
258188,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra (5-1960),21,9,1960,5,0.43
144400,Hold Me Now,Thompson Twins (6-1984),21,0,1984,6,0.0
144374,Hold On To The Nights,Richard Marx (10-1988),21,1,1988,10,0.05
144351,Mad About You,Belinda Carlisle (10-1986),21,0,1986,10,0.0
144352,Electric Blue,Icehouse (7-1988),21,0,1988,7,0.0
144373,I'll Be Alright Without You,Journey (4-1987),21,0,1987,4,0.0
144342,Nobody's Fool,Cinderella (3-1987),21,0,1987,3,0.0
144339,Friends And Lovers,Carl Anderson & Gloria Loring (11-1986),21,0,1986,11,0.0
144331,It's My Turn,Diana Ross (3-1981),21,0,1981,3,0.0
144337,Lonely Weekends,Charlie Rich (7-1960),21,0,1960,7,0.0
223931,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin (4-1974),21,0,1974,4,0.0
144365,I'll Be Loving You (Forever),New Kids On The Block (8-1989),21,1,1989,8,0.05
144363,Give It Up,KC (5-1984),21,0,1984,5,0.0
144366,I Want To Know What Love Is,Foreigner (4-1985),21,2,1985,4,0.1
144360,Get Up And Boogie (That's Right),Silver Convention (7-1976),21,0,1976,7,0.0
144358,Just Got Paid,Johnny Kemp (10-1988),21,0,1988,10,0.0
144372,I Don't Wanna Live Without Your Love,Chicago (10-1988),21,0,1988,10,0.0
300481,You Can't Change That,Raydio (9-1979),22,0,1979,9,0.0
222535,Uh Huh,B2K (6-2002),22,0,2002,6,0.0
302848,You Never Done It Like That,Captain & Tennille (12-1978),22,0,1978,12,0.0
327,Don't You (Forget About Me),Simple Minds (7-1985),22,1,1985,7,0.05
226157,Wait (The Whisper Song),Ying Yang Twins (7-2005),22,0,2005,7,0.0
264342,This Town,Niall Horan (3-2017),22,0,2017,3,0.0
224702,Uptown Girl,Billy Joel (2-1984),22,0,1984,2,0.0
225690,Vision Of Love,Mariah Carey (10-1990),22,4,1990,10,0.18
223658,Unpredictable,Jamie Foxx Featuring Ludacris (4-2006),22,0,2006,4,0.0
301697,You Got What It Takes,Marv Johnson (3-1960),22,0,1960,3,0.0
216468,Wake Up Call,Maroon 5 (1-2008),22,0,2008,1,0.0
217067,Too Little Too Late,JoJo (1-2007),22,0,2007,1,0.0
301060,You Don't Know How It Feels,Tom Petty (4-1995),22,0,1995,4,0.0
217630,Torn Between Two Lovers,Mary Macgregor (4-1977),22,2,1977,4,0.09
300693,You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy (2-1978),22,0,1978,2,0.0
306862,Your Love,The Outfield (7-1986),22,0,1986,7,0.0
304958,You're My World,Helen Reddy (9-1977),22,0,1977,9,0.0
304689,You're In My Heart (The Final Acclaim),Rod Stewart (3-1978),22,0,1978,3,0.0
305288,You're The Inspiration,Chicago (4-1985),22,0,1985,4,0.0
220960,Turn Your Love Around,George Benson (3-1982),22,0,1982,3,0.0
221032,Turnin Me On,Keri Hilson Featuring Lil Wayne (5-2009),22,0,2009,5,0.0
221748,Two Of Hearts,Stacey Q (12-1986),22,0,1986,12,0.0
303735,You Want This/70's Love Groove,Janet Jackson (3-1995),22,0,1995,3,0.0
220275,Tuesday,I LOVE MAKONNEN Featuring Drake (3-2015),22,0,2015,3,0.0
235821,The Power,Snap! (10-1990),22,0,1990,10,0.0
234499,The Most Beautiful Girl,Charlie Rich (2-1974),22,2,1974,2,0.09
235229,The One,Elton John (11-1992),22,0,1992,11,0.0
285768,Dancing With A Stranger,Sam Smith & Normani (6-2019),22,0,2019,6,0.0
231740,"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus (7-1968)",22,0,1968,7,0.0
244494,Wolves,Selena Gomez X Marshmello (4-2018),22,0,2018,4,0.0
247908,Walk It Talk It,Migos Featuring Drake (7-2018),22,0,2018,7,0.0
275287,If Today Was Your Last Day,Nickelback (8-2009),22,0,2009,8,0.0
259113,The Way It Is,Bruce Hornsby & The Range (2-1987),22,1,1987,2,0.05
259158,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj (2-2018),22,0,2018,2,0.0
231437,The Gambler,Kenny Rogers (3-1979),22,0,1979,3,0.0
231088,Red,Taylor Swift (12-2013),22,0,2013,12,0.0
273951,Old Time Rock & Roll,Bob Seger & The Silver Bullet Band (11-1983),22,0,1983,11,0.0
273942,I Bet My Life,Imagine Dragons (4-2015),22,0,2015,4,0.0
273938,Drinking Class,Lee Brice (5-2015),22,0,2015,5,0.0
273952,Fool For Your Loving,Whitesnake (2-1990),22,0,1990,2,0.0
145066,Not A Bad Thing,Justin Timberlake (8-2014),22,0,2014,8,0.0
145071,If Everyone Cared,Nickelback (6-2007),22,0,2007,6,0.0
240355,Who Will You Run To,Heart (1-1988),22,0,1988,1,0.0
145068,On My Mind,Ellie Goulding (3-2016),22,0,2016,3,0.0
145067,How Far We've Come,matchbox twenty (2-2008),22,0,2008,2,0.0
239578,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis (3-2014),22,0,2014,3,0.0
273935,New Flame,Chris Brown Featuring Usher & Rick Ross (12-2014),22,0,2014,12,0.0
273934,More,Usher (5-2011),22,0,2011,5,0.0
145057,Lighters,Bad Meets Evil Featuring Bruno Mars (11-2011),22,0,2011,11,0.0
145056,Naughty Girl,Beyonce (8-2004),22,0,2004,8,0.0
145054,Jessie,Joshua Kadison (3-1994),22,0,1994,3,0.0
145053,Ex-Factor,Lauryn Hill (6-1999),22,0,1999,6,0.0
145052,Luv,Tory Lanez (12-2016),22,0,2016,12,0.0
145051,Never Let You Go,Third Eye Blind (6-2000),22,0,2000,6,0.0
145049,Love Is On The Way,Saigon Kick (1-1993),22,0,1993,1,0.0
145059,Love Me,Lil Wayne Featuring Drake & Future (6-2013),22,0,2013,6,0.0
145061,One Last Cry,Brian McKnight (11-1993),22,0,1993,11,0.0
273931,I Am Woman,Helen Reddy (1-1973),22,1,1973,1,0.05
273930,Little Lion Man,Mumford & Sons (3-2011),22,0,2011,3,0.0
239394,White Horse,Taylor Swift (4-2009),22,0,2009,4,0.0
273925,LoveGame,Lady Gaga (9-2009),22,0,2009,9,0.0
145064,Hemorrhage (In My Hands),Fuel (3-2001),22,0,2001,3,0.0
145063,Every Day Of The Week,Jade (4-1995),22,0,1995,4,0.0
145062,It Girl,Jason Derulo (1-2012),22,0,2012,1,0.0
145078,Love Me Harder,Ariana Grande & The Weeknd (3-2015),22,0,2015,3,0.0
145127,Like A Wrecking Ball,Eric Church (9-2015),22,0,2015,9,0.0
145126,Nadia's Theme (The Young And The Restless),"Barry DeVorzon and Perry Botkin, Jr. (1-1977)",22,0,1977,1,0.0
145114,Love Of A Lifetime,Firehouse (11-1991),22,0,1991,11,0.0
144928,Milkshake,Kelis (2-2004),22,0,2004,2,0.0
144930,Luv U Better,LL Cool J (1-2003),22,0,2003,1,0.0
242643,Will It Go Round In Circles,Billy Preston (8-1973),22,2,1973,8,0.09
241898,Wiggle It,2 In A Room (3-1991),22,0,1991,3,0.0
145094,I Turn To You,Christina Aguilera (9-2000),22,0,2000,9,0.0
145091,I'd Do Anything For Love (But I Won't Do That),Meat Loaf (2-1994),22,5,1994,2,0.23
145090,MMMBop,Hanson (9-1997),22,3,1997,9,0.14
145088,No Worries,Lil Wayne Featuring Detail (2-2013),22,0,2013,2,0.0
145086,Hey Jealousy,Gin Blossoms (12-1993),22,0,1993,12,0.0
145083,I Do,Lisa Loeb (3-1998),22,0,1998,3,0.0
145082,Get It Shawty,Lloyd (8-2007),22,0,2007,8,0.0
145081,I'm Ready,Tevin Campbell (8-1994),22,0,1994,8,0.0
145077,If You Asked Me To,Celine Dion (9-1992),22,0,1992,9,0.0
145095,Everybody [Backstreet's Back],Backstreet Boys (9-1998),22,0,1998,9,0.0
145097,God Is A Woman,Ariana Grande (12-2018),22,0,2018,12,0.0
237273,When You Love A Woman,Journey (3-1997),22,0,1997,3,0.0
241528,Why Ya Wanna,Jana Kramer (10-2012),22,0,2012,10,0.0
145107,None Of Your Business,Salt-N-Pepa (12-1994),22,0,1994,12,0.0
145106,Hurricane,Luke Combs (7-2017),22,0,2017,7,0.0
145103,My Front Porch Looking In,Lonestar (9-2003),22,0,2003,9,0.0
145102,Harder To Breathe,Maroon 5 (1-2004),22,0,2004,1,0.0
145101,H.O.L.Y.,Florida Georgia Line (10-2016),22,0,2016,10,0.0
145100,I Got A Man,Positive K (5-1993),22,0,1993,5,0.0
145099,Kissin' You,Total (9-1996),22,0,1996,9,0.0
145006,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne (10-2017)",22,1,2017,10,0.05
145004,King Of Anything,Sara Bareilles (12-2010),22,0,2010,12,0.0
144996,Let's Go,Trick Daddy Featuring Lil Jon & Twista (2-2005),22,0,2005,2,0.0
144994,Just Fine,Mary J. Blige (3-2008),22,0,2008,3,0.0
144993,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd (1-2009),22,0,2009,1,0.0
145007,Mambo No. 5 (A Little Bit Of...),Lou Bega (1-2000),22,0,2000,1,0.0
145009,Maps,Maroon 5 (11-2014),22,0,2014,11,0.0
145026,Lost Boy,Ruth B (8-2016),22,0,2016,8,0.0
145017,Gangsta Lovin',Eve Featuring Alicia Keys (12-2002),22,0,2002,12,0.0
145019,Hip Hop Hooray,Naughty By Nature (6-1993),22,0,1993,6,0.0
144953,Grind With Me,Pretty Ricky (9-2005),22,0,2005,9,0.0
144977,Hitchin' A Ride,Vanity Fare (8-1970),22,0,1970,8,0.0
144981,Last Night,Diddy Featuring Keyshia Cole (6-2007),22,0,2007,6,0.0
144986,Have You Ever?,Brandy (5-1999),22,2,1999,5,0.09
145045,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris (4-2005),22,0,2005,4,0.0
273909,Hard Knock Life (Ghetto Anthem),JAY-Z (4-1999),22,0,1999,4,0.0
273899,Livin' On A Prayer,Bon Jovi (11-2013),22,4,2013,11,0.18
145033,Get Gone,Ideal (1-2000),22,0,2000,1,0.0
145030,Lowdown,Boz Scaggs (11-1976),22,0,1976,11,0.0
145028,"Hello, Dolly!",Louis Armstrong And The All Stars (7-1964),22,1,1964,7,0.05
145038,Have I Told You Lately,Rod Stewart (9-1993),22,0,1993,9,0.0
144940,Nice To Be With You,Gallery (7-1972),22,0,1972,7,0.0
144941,Gotta Tell You,Samantha Mumba (2-2001),22,0,2001,2,0.0
145042,Nonstop,Drake (12-2018),22,0,2018,12,0.0
145041,Drank In My Cup,Kirko Bangz (7-2012),22,0,2012,7,0.0
145040,It Goes Like This,Thomas Rhett (11-2013),22,0,2013,11,0.0
144949,In My Feelings,Drake (12-2018),22,10,2018,12,0.45
145304,Longer,Dan Fogelberg (5-1980),22,0,1980,5,0.0
145303,Miami Vice Theme,Jan Hammer (2-1986),22,1,1986,2,0.05
145302,Love Will Never Do (Without You),Janet Jackson (4-1991),22,1,1991,4,0.05
145301,I'll Be There For You,Bon Jovi (7-1989),22,1,1989,7,0.05
145300,I Know A Heartache When I See One,Jennifer Warnes (11-1979),22,0,1979,11,0.0
145299,Dreaming,Cliff Richard (2-1981),22,0,1981,2,0.0
145298,I Ran (So Far Away),A Flock Of Seagulls (12-1982),22,0,1982,12,0.0
145297,Just Another Dream,Cathy Dennis (3-1991),22,0,1991,3,0.0
145296,Eyes Without A Face,Billy Idol (9-1984),22,0,1984,9,0.0
145295,Got My Mind Set On You,George Harrison (3-1988),22,1,1988,3,0.05
145294,Higher Love,Steve Winwood (11-1986),22,1,1986,11,0.05
145293,Nothing's Gonna Stop Us Now,Starship (6-1987),22,2,1987,6,0.09
145292,Grease,Frankie Valli (10-1978),22,2,1978,10,0.09
145291,Lady (You Bring Me Up),Commodores (11-1981),22,0,1981,11,0.0
145290,I've Done Everything For You,Rick Springfield (1-1982),22,0,1982,1,0.0
145288,Feels Like The First Time,Foreigner (8-1977),22,0,1977,8,0.0
145305,Guilty,Barbra Streisand & Barry Gibb (3-1981),22,0,1981,3,0.0
145306,It's Ecstasy When You Lay Down Next To Me,Barry White (1-1978),22,0,1978,1,0.0
145307,Elvira,The Oak Ridge Boys (10-1981),22,0,1981,10,0.0
145308,Heartbreaker,Dionne Warwick (3-1983),22,2,1983,3,0.09
145311,Feels So Right,Alabama (10-1981),22,0,1981,10,0.0
145310,Help Is On Its Way,Little River Band (12-1977),22,0,1977,12,0.0
145286,If U Were Mine,The U-Krew (6-1990),22,0,1990,6,0.0
145284,Nightshift,Commodores (6-1985),22,0,1985,6,0.0
145264,Hold You Tight,Tara Kemp (6-1991),22,0,1991,6,0.0
145263,How Can I Fall?,Breathe (2-1989),22,0,1989,2,0.0
145262,Electric Avenue,Eddy Grant (9-1983),22,0,1983,9,0.0
145260,It Was Almost Like A Song,Ronnie Milsap (11-1977),22,0,1977,11,0.0
145259,Magnet And Steel,Walter Egan (10-1978),22,0,1978,10,0.0
145265,Giving You The Benefit,Pebbles (1-1991),22,0,1991,1,0.0
145256,Love Theme From St. Elmo's Fire (Instrumental),David Foster (1-1986),22,0,1986,1,0.0
145254,In My House,Mary Jane Girls (8-1985),22,0,1985,8,0.0
145253,Mony Mony,Billy Idol (1-1988),22,1,1988,1,0.05
145252,If You Don't Know Me By Now,Simply Red (9-1989),22,1,1989,9,0.05
145251,Every Breath You Take,The Police (10-1983),22,8,1983,10,0.36
145266,Love Is A Battlefield,Pat Benatar (2-1984),22,0,1984,2,0.0
145283,Karma Chameleon,Culture Club (4-1984),22,3,1984,4,0.14
145282,El Paso,Marty Robbins (4-1960),22,2,1960,4,0.09
145281,My Sharona,The Knack (11-1979),22,6,1979,11,0.27
145280,Miles Away,Winger (3-1991),22,0,1991,3,0.0
145279,Misty Blue,Dorothy Moore (8-1976),22,0,1976,8,0.0
145278,Jack & Diane,John Cougar (12-1982),22,4,1982,12,0.18
145277,Major Tom (Coming Home),Peter Schilling (2-1984),22,0,1984,2,0.0
145267,Let Me Be The One,Expose (1-1988),22,0,1988,1,0.0
145273,Girl I'm Gonna Miss You,Milli Vanilli (12-1989),22,2,1989,12,0.09
145271,If I Can't Have You,Yvonne Elliman (6-1978),22,1,1978,6,0.05
145269,Just A Friend,Biz Markie (6-1990),22,0,1990,6,0.0
144811,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders (9-1971),22,1,1971,9,0.05
247727,Walk Away (Remember Me),Paula DeAnda Featuring The DEY (3-2007),22,0,2007,3,0.0
144854,It's So Hard To Say Goodbye To Yesterday,Boyz II Men (2-1992),22,0,1992,2,0.0
145154,Money Longer,Lil Uzi Vert (11-2016),22,0,2016,11,0.0
145132,Moonlight Feels Right,Starbuck (9-1976),22,0,1976,9,0.0
145149,Jungle Boogie,Kool & The Gang (5-1974),22,0,1974,5,0.0
145147,Love's Theme,Love Unlimited Orchestra (4-1974),22,1,1974,4,0.05
145145,Margaritaville,Jimmy Buffett (8-1977),22,0,1977,8,0.0
145141,It's All In The Game,Tommy Edwards (1-1959),22,6,1959,1,0.27
145237,Now That We Found Love,Heavy D & The Boyz (11-1991),22,0,1991,11,0.0
145234,Giving You The Best That I Got,Anita Baker (2-1989),22,0,1989,2,0.0
145227,I Didn't Mean To Turn You On,Robert Palmer (1-1987),22,0,1987,1,0.0
145240,Jeopardy,Greg Kihn Band (6-1983),22,0,1983,6,0.0
145245,Maniac,Michael Sembello (10-1983),22,2,1983,10,0.09
145242,Every Woman In The World,Air Supply (3-1981),22,0,1981,3,0.0
145224,I Live For Your Love,Natalie Cole (4-1988),22,0,1988,4,0.0
145205,I Can't Stand The Rain,Eruption (8-1978),22,0,1978,8,0.0
145221,Forever Your Girl,Paula Abdul (8-1989),22,2,1989,8,0.09
145206,Money For Nothing,Dire Straits (12-1985),22,3,1985,12,0.14
286335,Spend My Life With You,Eric Benet Featuring Tamia (11-1999),22,0,1999,11,0.0
286336,Clocks,Coldplay (6-2003),22,0,2003,6,0.0
286337,Silence,Marshmello Featuring Khalid (1-2018),22,0,2018,1,0.0
286341,Slippin' Into Darkness,War (6-1972),22,0,1972,6,0.0
286345,"Sugar, Sugar",The Archies (12-1969),22,4,1969,12,0.18
286348,Show And Tell,Al Wilson (3-1974),22,1,1974,3,0.05
255757,What's Your Fantasy,Ludacris Featuring Shawnna (2-2001),22,0,2001,2,0.0
286334,Superwoman Pt. II,Lil' Mo Featuring Fabolous (8-2001),22,0,2001,8,0.0
286397,Only Sixteen,Dr. Hook (5-1976),22,0,1976,5,0.0
286404,(Everything I Do) I Do It For You,Bryan Adams (11-1991),22,7,1991,11,0.32
286406,Broken Wings,Mr. Mister (2-1986),22,2,1986,2,0.09
286390,Come Sail Away,Styx (2-1978),22,0,1978,2,0.0
286387,Dancing Machine,Jackson 5 (8-1974),22,0,1974,8,0.0
286388,Couldn't Get It Right,Climax Blues Band (7-1977),22,0,1977,7,0.0
255457,What's My Name?,Rihanna Featuring Drake (4-2011),22,1,2011,4,0.05
257226,When It's Over,Sugar Ray (10-2001),22,0,2001,10,0.0
286288,Come & Get It,Selena Gomez (9-2013),22,0,2013,9,0.0
250768,We Don't Have To Take Our Clothes Off,Jermaine Stewart (10-1986),22,0,1986,10,0.0
251304,We Run The Night,Havana Brown Featuring Pitbull (9-2012),22,0,2012,9,0.0
257389,When She Was My Girl,Four Tops (1-1982),22,0,1982,1,0.0
286295,Call Me When You're Sober,Evanescence (1-2007),22,0,2007,1,0.0
286318,Ordinary World,Duran Duran (6-1993),22,0,1993,6,0.0
286319,Rock Your Body,Justin Timberlake (8-2003),22,0,2003,8,0.0
286320,Tennessee,Arrested Development (9-1992),22,0,1992,9,0.0
286321,100 Years,Five For Fighting (7-2004),22,0,2004,7,0.0
286322,'Til You Do Me Right,After 7 (12-1995),22,0,1995,12,0.0
286323,Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne (12-2012)",22,0,2012,12,0.0
286316,"Bump, Bump, Bump",B2K & P. Diddy (4-2003),22,1,2003,4,0.05
286324,6 Underground,Sneaker Pimps (9-1997),22,0,1997,9,0.0
286326,Beautiful Girls,Sean Kingston (11-2007),22,4,2007,11,0.18
286328,Right Here (Human Nature)/Downtown,SWV (12-1993),22,0,1993,12,0.0
286330,Red Light Special,TLC (7-1995),22,0,1995,7,0.0
286331,Die Young,Ke$ha (3-2013),22,0,2013,3,0.0
286332,Secret,Madonna (3-1995),22,0,1995,3,0.0
286313,Best Of Intentions,Travis Tritt (1-2001),22,0,2001,1,0.0
286296,So Gone,Monica (9-2003),22,0,2003,9,0.0
286297,1979,The Smashing Pumpkins (7-1996),22,0,1996,7,0.0
286298,Building A Mystery,Sarah McLachlan (1-1998),22,0,1998,1,0.0
286301,Cowboys And Angels,Dustin Lynch (10-2012),22,0,2012,10,0.0
286306,Anaconda,Nicki Minaj (1-2015),22,0,2015,1,0.0
286307,Circus,Britney Spears (5-2009),22,0,2009,5,0.0
286308,Bartender,T-Pain Featuring Akon (11-2007),22,0,2007,11,0.0
286309,Ain't 2 Proud 2 Beg,TLC (7-1992),22,0,1992,7,0.0
286310,Baby,Ashanti (12-2002),22,0,2002,12,0.0
286312,Springsteen,Eric Church (8-2012),22,0,2012,8,0.0
228926,Pump It,The Black Eyed Peas (5-2006),22,0,2006,5,0.0
228925,Blown Away,Carrie Underwood (12-2012),22,0,2012,12,0.0
228921,Stay The Night,Zedd Featuring Hayley Williams (3-2014),22,0,2014,3,0.0
286501,Desert Moon,Dennis DeYoung (2-1985),22,0,1985,2,0.0
286502,Don't Know What You Got (Till It's Gone),Cinderella (1-1989),22,0,1989,1,0.0
286503,Another Lover,Giant Steps (1-1989),22,0,1989,1,0.0
286504,Dance Hall Days,Wang Chung (9-1984),22,0,1984,9,0.0
286505,Da Doo Ron Ron,Shaun Cassidy (10-1977),22,1,1977,10,0.05
286506,Shake It Up,The Cars (4-1982),22,0,1982,4,0.0
286507,Shake Your Love,Debbie Gibson (2-1988),22,0,1988,2,0.0
228933,Take A Walk,Passion Pit (2-2013),22,0,2013,2,0.0
286508,Something Happened On The Way To Heaven,Phil Collins (12-1990),22,0,1990,12,0.0
286511,The Ballad Of Jayne,L.A. Guns (9-1990),22,0,1990,9,0.0
299884,You Are The Woman,Firefall (1-1977),22,0,1977,1,0.0
256896,When I See You Smile,Bad English (2-1990),22,2,1990,2,0.09
286509,Rocket 2 U,The Jets (6-1988),22,0,1988,6,0.0
228899,Careless Whisper,Wham! Featuring George Michael (1-2017),22,3,2017,1,0.14
286499,Right Time Of The Night,Jennifer Warnes (6-1977),22,0,1977,6,0.0
286498,Rhythm Of The Night,Debarge (7-1985),22,0,1985,7,0.0
286496,Say Say Say,Paul McCartney And Michael Jackson (3-1984),22,6,1984,3,0.27
286443,Angel Of The Morning,Juice Newton (7-1981),22,0,1981,7,0.0
286445,Always Something There To Remind Me,Naked Eyes (8-1983),22,0,1983,8,0.0
286446,Stranded,Heart (2-1991),22,0,1991,2,0.0
286448,After The Rain,Nelson (3-1991),22,0,1991,3,0.0
286450,"Please Help Me, I'm Falling",Hank Locklin (10-1960),22,0,1960,10,0.0
286451,Point Of No Return,Nu Shooz (11-1986),22,0,1986,11,0.0
286452,Somebody's Knockin',Terri Gibbs (6-1981),22,0,1981,6,0.0
286436,Shake Your Body (Down To The Ground),The Jacksons (7-1979),22,0,1979,7,0.0
286434,Burning Heart,Survivor (3-1986),22,0,1986,3,0.0
286418,Party All The Time,Eddie Murphy (3-1986),22,0,1986,3,0.0
286419,Devil Woman,Cliff Richard (11-1976),22,0,1976,11,0.0
286431,Do Me!,Bell Biv DeVoe (11-1990),22,0,1990,11,0.0
286457,She Blinded Me With Science,Thomas Dolby (7-1983),22,0,1983,7,0.0
286480,Sharing The Night Together,Dr. Hook (2-1979),22,0,1979,2,0.0
286481,Release Me,Wilson Phillips (11-1990),22,2,1990,11,0.09
286483,"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt & James Ingram (5-1987),22,0,1987,5,0.0
286484,Suddenly,Billy Ocean (8-1985),22,0,1985,8,0.0
286485,Do You Wanna Make Love,Peter Mccann (9-1977),22,0,1977,9,0.0
286486,Ariel,Dean Friedman (9-1977),22,0,1977,9,0.0
286479,Angel Eyes,The Jeff Healey Band (11-1989),22,0,1989,11,0.0
286487,Sometimes When We Touch,Dan Hill (4-1978),22,0,1978,4,0.0
286489,Brand New Lover,Dead Or Alive (4-1987),22,0,1987,4,0.0
286490,Allentown,Billy Joel (4-1983),22,0,1983,4,0.0
286491,Beds Are Burning,Midnight Oil (8-1988),22,0,1988,8,0.0
286492,Something In My Heart,Michel'le (6-1991),22,0,1991,6,0.0
286493,Silent Morning,Noel (1-1988),22,0,1988,1,0.0
286494,Shake You Down,Gregory Abbott (3-1987),22,1,1987,3,0.05
286495,Addicted To Love,Robert Palmer (7-1986),22,1,1986,7,0.05
286488,All Around The World,Lisa Stansfield (6-1990),22,0,1990,6,0.0
286478,Poison,Bell Biv DeVoe (9-1990),22,0,1990,9,0.0
286459,Crazy Little Thing Called Love,Queen (5-1980),22,4,1980,5,0.18
286460,Saving All My Love For You,Whitney Houston (1-1986),22,1,1986,1,0.05
286461,A Little In Love,Cliff Richard (5-1981),22,0,1981,5,0.0
286462,All I Need,Jack Wagner (3-1985),22,0,1985,3,0.0
286464,Songbird,Kenny G (8-1987),22,0,1987,8,0.0
286465,Stumblin' In,Suzi Quatro & Chris Norman (6-1979),22,0,1979,6,0.0
286466,Step By Step,Eddie Rabbitt (12-1981),22,3,1981,12,0.14
286467,The Boys Of Summer,Don Henley (4-1985),22,0,1985,4,0.0
286468,Signs,Tesla (6-1991),22,0,1991,6,0.0
286470,Telefone (long Distance Love Affair),Sheena Easton (1-1984),22,0,1984,1,0.0
286472,Supersonic,J.J. Fad (9-1988),22,0,1988,9,0.0
286473,(Just Like) Starting Over,John Lennon (3-1981),22,5,1981,3,0.23
286474,Shake Your Groove Thing,Peaches & Herb (5-1979),22,0,1979,5,0.0
286475,Be Near Me,ABC (1-1986),22,0,1986,1,0.0
286476,Brass In Pocket (I'm Special),Pretenders (7-1980),22,0,1980,7,0.0
286497,St. Elmo's Fire (Man In Motion),John Parr (11-1985),22,2,1985,11,0.09
286194,So Much In Love,All-4-One (5-1994),22,1,1994,5,0.05
286212,All For Love,Bryan Adams/Rod Stewart/Sting (4-1994),22,3,1994,4,0.14
286215,Started From The Bottom,Drake (7-2013),22,0,2013,7,0.0
275480,Lovely,Billie Eilish & Khalid (4-2019),22,0,2019,4,0.0
286247,Brokenhearted,Karmin (8-2012),22,0,2012,8,0.0
286251,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole (11-2006),22,0,2006,11,0.0
286254,(God Must Have Spent) A Little More Time On You,'N Sync (5-1999),22,0,1999,5,0.0
286255,Right Now (Na Na Na),Akon (3-2009),22,0,2009,3,0.0
286256,Battlefield,Jordin Sparks (10-2009),22,0,2009,10,0.0
286257,Clique,"Kanye West, Jay-Z, Big Sean (2-2013)",22,0,2013,2,0.0
286258,Dancing In The Moonlight,King Harvest (3-1973),22,0,1973,3,0.0
286265,Both,Gucci Mane Featuring Drake (6-2017),22,0,2017,6,0.0
286266,Dancing Queen,ABBA (5-1977),22,1,1977,5,0.05
286267,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx (5-2004),22,1,2004,5,0.05
286245,Shadow Of The Day,Linkin Park (4-2008),22,0,2008,4,0.0
286225,One Of Us,Joan Osborne (5-1996),22,0,1996,5,0.0
286226,Break Free,Ariana Grande Featuring Zedd (12-2014),22,0,2014,12,0.0
286228,Sexy Love,Ne-Yo (11-2006),22,0,2006,11,0.0
286229,Shawty,Plies Featuring T-Pain (11-2007),22,0,2007,11,0.0
258210,The Theme From Hill Street Blues,Mike Post featuring Larry Carlton (1-1982),22,0,1982,1,0.0
258058,The Sweetest Taboo,Sade (4-1986),22,0,1986,4,0.0
286233,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors (12-2016)",22,0,2016,12,0.0
286234,Charlene,Anthony Hamilton (1-2005),22,0,2005,1,0.0
286236,Pretty Girl Rock,Keri Hilson (5-2011),22,0,2011,5,0.0
286238,Part Of Me,Katy Perry (7-2012),22,1,2012,7,0.05
286244,Roll Up,Wiz Khalifa (7-2011),22,0,2011,7,0.0
286126,Rake It Up,Yo Gotti Featuring Nicki Minaj (12-2017),22,0,2017,12,0.0
286076,Raindrops Keep Fallin' On My Head,B.J. Thomas (3-1970),22,4,1970,3,0.18
286161,"Bad, Bad Leroy Brown",Jim Croce (9-1973),22,2,1973,9,0.09
286171,Slow Down,Bobby Valentino (7-2005),22,0,2005,7,0.0
286150,Rude Boy,Rihanna (7-2010),22,5,2010,7,0.23
286155,Oye Mi Canto,"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato (1-2005)",22,0,2005,1,0.0
286271,Bust It Baby Part 2,Plies Featuring Ne-Yo (9-2008),22,0,2008,9,0.0
286277,All Time Low,Jon Bellion (3-2017),22,0,2017,3,0.0
