,Song,Performer,Relevance (Total Weeks on Chart),Count of no. 1,Year,Month,Popularity
50129,The Creep,The Lonely Island Featuring Nicki Minaj (2-2011),1,0,2011,2,0.0
264635,Thought I Knew You,Nicki Minaj Featuring The Weeknd (8-2018),1,0,2018,8,0.0
264656,Thread The Needle,Clarence Carter (6-1967),1,0,1967,6,0.0
264424,This World We Love In (Il Cielo In Una Stanza),Mina (5-1961),1,0,1961,5,0.0
264817,Three,Future & Young Thug (11-2017),1,0,2017,11,0.0
264177,This Sporting Life,Ian Whitcomb And Bluesville (3-1965),1,0,1965,3,0.0
265660,Til It Happens To You,Lady Gaga (3-2016),1,0,2016,3,0.0
265621,Tik Tok,Glee Cast (3-2011),1,0,2011,3,0.0
265063,Throw That,Slaughterhouse Featuring Eminem (9-2012),1,0,2012,9,0.0
265335,Tic Tac Toe,Meek Mill Featuring Kodak Black (12-2018),1,0,2018,12,0.0
265244,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid (1-2018),1,0,2018,1,0.0
262247,Things We Do For Love,Horace Brown (8-1996),1,0,1996,8,0.0
262246,Things That Never Cross A Man's Mind,Kellie Pickler (4-2008),1,0,2008,4,0.0
262245,Things That Matter,Rascal Flatts (4-2009),1,0,2009,4,0.0
263606,This Is The Life,Hannah Montana (11-2006),1,0,2006,11,0.0
263566,This Is My Story,Mickey & Sylvia (12-1960),1,0,1960,12,0.0
263829,This Land Is Your Land,Ketty Lester (12-1962),1,0,1962,12,0.0
263676,This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie (10-2013),1,0,2013,10,0.0
263675,This Is War,Thirty Seconds To Mars (12-2009),1,0,2009,12,0.0
263292,This Is Gospel,Panic! At The Disco (8-2013),1,0,2013,8,0.0
265982,Time Alone Will Tell,Connie Francis (4-1967),1,0,1967,4,0.0
50729,Ser O Parecer,RBD (12-2006),1,0,2006,12,0.0
266844,To Be Loved,Jackie Wilson (8-1958),1,0,1958,8,0.0
266757,Title,Meghan Trainor (1-2015),1,0,2015,1,0.0
266088,Time For Miracles,Adam Lambert (11-2009),1,0,2009,11,0.0
266307,Time Warp,Glee Cast (11-2010),1,0,2010,11,0.0
266279,Time Seller,The Spencer Davis Group (9-1967),1,0,1967,9,0.0
50766,Difference (Interlude),XXXTENTACION (12-2018),1,0,2018,12,0.0
50767,Don't Pretend,Khalid x SAFE (4-2019),1,0,2019,4,0.0
50759,The Difference,Meek Mill Featuring Quavo (11-2016),1,0,2016,11,0.0
50742,Outta Your Mind,Lil Jon Featuring LMFAO (7-2010),1,0,2010,7,0.0
50745,Set You Free,3OH!3 (1-2012),1,0,2012,1,0.0
50756,Body Say,Demi Lovato (8-2016),1,0,2016,8,0.0
50758,Pink + White,Frank Ocean (9-2016),1,0,2016,9,0.0
267076,"To Sir, With Love",Herbie Mann (10-1967),1,0,1967,10,0.0
267208,Today Is Your Day,Shania Twain (7-2011),1,0,2011,7,0.0
267193,Toca's Miracle,Fragma (10-2000),1,0,2000,10,0.0
33484,Never Grow Up,Taylor Swift (11-2010),1,0,2010,11,0.0
33487,How To Hate,Lil Wayne Featuring T-Pain (9-2011),1,0,2011,9,0.0
33492,Make You Feel My Love,Glee Cast (10-2013),1,0,2013,10,0.0
33497,Fairly Local,twenty one pilots (4-2015),1,0,2015,4,0.0
33499,FML,Kanye West (4-2016),1,0,2016,4,0.0
33500,Holy Key,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright (8-2016)",1,0,2016,8,0.0
33483,Dumb Love,Sean Kingston (9-2010),1,0,2010,9,0.0
33482,Make A Wave,Disney's Friends For Change (4-2010),1,0,2010,4,0.0
33480,Love Is On Its Way,Jonas Brothers (3-2009),1,0,2009,3,0.0
33471,Earth Intruders,Bjork (4-2007),1,0,2007,4,0.0
33502,Everything 1K,Kodak Black (3-2017),1,0,2017,3,0.0
33504,Guatemala,Swae Lee Featuring Slim Jxmmi (4-2018),1,0,2018,4,0.0
33508,I'll Make It All Up To You,Jerry Lee Lewis And His Pumping Piano (9-1958),1,0,1958,9,0.0
33511,I Just Thought You'd Like To Know,Johnny Cash And The Tennessee Two (12-1958),1,0,1958,12,0.0
32893,No Name,NF (2-2018),1,0,2018,2,0.0
32895,Let It Sing,Kevin Gates (6-2018),1,0,2018,6,0.0
32875,One And The Same,Selena Gomez & Demi Lovato (7-2009),1,0,2009,7,0.0
32878,My Best Days Are Ahead Of Me,Danny Gokey (3-2010),1,0,2010,3,0.0
32879,I'm Single,Lil Wayne (5-2010),1,0,2010,5,0.0
32887,Get Her Back,Robin Thicke (7-2014),1,0,2014,7,0.0
32890,For Real,Lil Uzi Vert (9-2017),1,0,2017,9,0.0
32913,I'll Never Stop Wanting You,Brian Hyland (11-1961),1,0,1961,11,0.0
33191,Dubai Shit,Huncho Jack Featuring Offset (1-2018),1,0,2018,1,0.0
33192,Higher We Go (Intro),Migos (2-2018),1,0,2018,2,0.0
33193,Infinity (888),XXXTENTACION Featuring Joey Bada$$ (3-2018),1,0,2018,3,0.0
33194,Drug Addicts,Lil Pump (7-2018),1,0,2018,7,0.0
33196,F&N,Future (2-2019),1,0,2019,2,0.0
33187,If I Could Fly,One Direction (12-2015),1,0,2015,12,0.0
33175,Fly With Me,Jonas Brothers (7-2009),1,0,2009,7,0.0
33178,Fight For You,Jason Derulo (10-2011),1,0,2011,10,0.0
33179,I Believe I Can Fly,Jermaine Paul (5-2012),1,0,2012,5,0.0
33181,Oceans,Jay Z Featuring Frank Ocean (7-2013),1,0,2013,7,0.0
33184,Lost Stars,Matt McAndrew & Adam Levine (1-2015),1,0,2015,1,0.0
34167,Give A Little More,Maroon 5 (9-2010),1,0,2010,9,0.0
34172,Hit Me With Your Best Shot / One Way Or Another,Glee Cast (12-2011),1,0,2011,12,0.0
34174,Long Live A$AP,A$AP Rocky (2-2013),1,0,2013,2,0.0
34175,I. Crawl,Childish Gambino (12-2013),1,0,2013,12,0.0
34185,Jerika,Jake Paul & Erika Costell Featuring Uncle Kade (8-2017),1,0,2017,8,0.0
34192,Lick,Offset (3-2019),1,0,2019,3,0.0
33830,Humility,Gorillaz Featuring George Benson (6-2018),1,0,2018,6,0.0
33833,Moonlight Bay,The Drifters (8-1958),1,0,1958,8,0.0
33820,Losers,The Weeknd Featuring Labrinth (9-2015),1,0,2015,9,0.0
33804,Insane,Eminem (6-2009),1,0,2009,6,0.0
33806,Long Live,Taylor Swift (11-2010),1,0,2010,11,0.0
33807,I Am The Champion,B.o.B (1-2011),1,0,2011,1,0.0
33811,I'm All Yours,Jay Sean Featuring Pitbull (6-2012),1,0,2012,6,0.0
33813,I Knew You Were Trouble,Michelle Chamuel (6-2013),1,0,2013,6,0.0
33817,El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis (2-2014),1,0,2014,2,0.0
33872,Marianna,Johnny Mathis (6-1962),1,0,1962,6,0.0
33790,Hello Tomorrow,Squeak E. Clean Featuring Karen O (4-2005),1,0,2005,4,0.0
22044,Insult To Injury,Timi Yuro (3-1963),1,0,1963,3,0.0
21989,I Can't Go For That / You Make My Dreams,Glee Cast (12-2011),1,0,2011,12,0.0
21992,Failure,Breaking Benjamin (4-2015),1,0,2015,4,0.0
21998,Ivy,Frank Ocean (9-2016),1,0,2016,9,0.0
21982,Many Rivers To Cross,Annie Lennox (4-2008),1,0,2008,4,0.0
22000,Its Every Night Sis,RiceGum Featuring Alissa Violet (9-2017),1,0,2017,9,0.0
22001,Found You,Kane Brown (9-2017),1,0,2017,9,0.0
22003,My My My!,Troye Sivan (1-2018),1,0,2018,1,0.0
22036,Mashed Potatoes (Part 1),Steve Alaimo (3-1962),1,0,1962,3,0.0
303885,You Were Wrong,Z.Z. Hill (3-1964),1,0,1964,3,0.0
302585,You Make Me,Avicii (10-2013),1,0,2013,10,0.0
302952,You Really Got A Hold On Me,Gayle McCormick (1-1972),1,0,1972,1,0.0
303426,You Sound Good To Me,Lucy Hale (1-2014),1,0,2014,1,0.0
21745,Down To Earth,Justin Bieber (12-2009),1,0,2009,12,0.0
21746,G.R.I.N.D. (Get Ready It's A New Day),Asher Roth (8-2010),1,0,2010,8,0.0
21776,Lonely Life,Jackie Wilson (6-1961),1,0,1961,6,0.0
21751,It's Good,Lil Wayne Featuring Drake & Jadakiss (9-2011),1,0,2011,9,0.0
21758,Hello Friday,Flo Rida Featuring Jason Derulo (3-2016),1,0,2016,3,0.0
21759,Nikes,Frank Ocean (9-2016),1,0,2016,9,0.0
32601,Must've Never Met You,Luke Combs (6-2018),1,0,2018,6,0.0
32602,My Blood,twenty one pilots (10-2018),1,0,2018,10,0.0
32603,Foot Fungus,Ski Mask The Slump God (12-2018),1,0,2018,12,0.0
32609,Gotta New Girl,Bobby Day (6-1959),1,0,1959,6,0.0
32578,Lady Is A Tramp,Glee Cast (5-2010),1,0,2010,5,0.0
32579,Leave Right Now,Will Young (6-2010),1,0,2010,6,0.0
32581,Never Going Back Again,Glee Cast (5-2011),1,0,2011,5,0.0
32582,"I Love New York / New York, New York",Glee Cast (6-2011),1,0,2011,6,0.0
32583,Night Of Your Life,David Guetta Featuring Jennifer Hudson (9-2011),1,0,2011,9,0.0
32585,Love This Life,T.I. (4-2012),1,0,2012,4,0.0
301861,You Keep Me Hangin' On/Hurt So Bad,Jackie DeShannon (5-1970),1,0,1970,5,0.0
300592,You Can't Lie To A Liar,Ketty Lester (10-1962),1,0,1962,10,0.0
300581,You Can't Hurt Me No More,Gene Chandler (3-1965),1,0,1965,3,0.0
300513,You Can't Get To Heaven On Roller Skates,Betty Johnson (1-1959),1,0,1959,1,0.0
300861,You Don't Belong,Daughtry (8-2009),1,0,2009,8,0.0
300918,You Don't Have To Be A Tower Of Strength,Gloria Lynne (12-1961),1,0,1961,12,0.0
301215,You Don't Miss Your Water,William Bell (4-1962),1,0,1962,4,0.0
299646,You Are In Love,Taylor Swift (3-2015),1,0,2015,3,0.0
299788,You Are The Best Thing,Ray LaMontagne (11-2008),1,0,2008,11,0.0
295317,When There Was Me And You,Vanessa Anne Hudgens (2-2006),1,0,2006,2,0.0
299351,You And I / You And I,Glee Cast (12-2011),1,0,2011,12,0.0
299301,You Ain't Got Nuthin,Lil Wayne Featuring Juelz Santana & Fabolous (6-2008),1,0,2008,6,0.0
35946,"Hello, Hello",Claudine Longet (5-1967),1,0,1967,5,0.0
35932,"Every Night, Every Day",Jimmy McCracklin (4-1965),1,0,1965,4,0.0
