,Song,Video Title,Views
38702,El Farsante,,
38715,Friends,Camila Cabello - Real Friends (Audio),1796416.0
38828,Kevin's Heart,,
38830,Ghostface Killers,,
38838,Nowadays,,
38853,Dura,,
38981,Narcos,,
39136,La Modelo,,
39852,KEKE,,
40019,Lemon,,
40045,No Excuses,Meghan Trainor - No Excuses,1034355.0
40050,One Kiss,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",1916118.0
40412,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
40610,Kooda,,
40673,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
41152,I Do,BØRNS - I Don't Want U Back,86519.0
41353,Moonlight,,
41848,Notice Me,,
42036,Echame La Culpa,,
42042,NBAYoungboat,,
42207,Hardaway,,
42501,One Foot,,
42717,MIC Drop,,
42895,Ice Tray,,
42952,I Fall Apart,,
43013,Gummo,,
43034,Friends,Camila Cabello - Real Friends (Audio),1796416.0
43212,How Long,,
43436,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
43736,Marry Me,Thomas Rhett - Marry Me,851835.0
43962,Lemon,,
44155,Five More Minutes,,
44166,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
44208,Greatest Love Story,,
44349,New Freezer,,
44569,Lights Down Low,,
44571,IDGAF,,
44797,Most People Are Good,,
44799,Love So Soft,,
44857,I'll Name The Dogs,,
44859,Like I Loved You,,
44884,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
45016,No Excuses,Meghan Trainor - No Excuses,1034355.0
45051,Dusk Till Dawn,,
45052,Echame La Culpa,,
45118,I Lived It,,
45156,Dura,,
45190,El Farsante,,
45305,Losing Sleep,,
45309,I Like Me Better,,
45401,Everyday,,
45412,Nowadays,,
45455,La Modelo,,
45913,Hardaway,,
46064,God's Plan,,
46300,Gucci Gang,,
46301,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
46733,No Limit,"G-Eazy - No Limit REMIX ft. A$AP Rocky, Cardi B, French Montana, Juicy J, Belly",5050147.0
46764,Look Alive,,
46928,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
47184,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
47275,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
47314,Let You Down,NF - Let You Down,1774018.0
47450,Meant To Be,,
47607,I Fall Apart,,
47899,Gummo,,
47975,Friends,Camila Cabello - Real Friends (Audio),1796416.0
48242,RONDO,,
48243,66,,
48421,Te Bote,,
48796,Powerglide,,
48978,Overdose,,
49180,Boo'd Up,,
49364,Awful Things,,
49872,Booty,,
49873,Dame Tu Cosita,,
50148,Danger,Thirty Seconds To Mars - Dangerous Night (Audio),199676.0
50437,Barbie Tingz,,
50762,Tequila,,
50763,Delicate,Taylor Swift - Delicate,14820746.0
50877,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
51167,Echame La Culpa,,
51397,Everyday,,
51403,KEKE,,
51522,Five More Minutes,,
51585,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
51598,Hardaway,,
51612,El Farsante,,
51674,I Lived It,,
51918,Lights Down Low,,
52035,Nowadays,,
52197,I Like Me Better,,
52202,For The First Time,,
52305,IDGAF,,
52306,MIC Drop,,
52433,La Modelo,,
52586,Kooda,,
52631,One Foot,,
52725,Ghostface Killers,,
52730,Ice Tray,,
52771,Narcos,,
53154,God's Plan,,
53368,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
53464,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
53996,Powerglide,,
54785,Singles You Up,,
54947,Ric Flair Drip,,
55042,Plain Jane,,
55130,Delicate,Taylor Swift - Delicate,14820746.0
55371,Rubbin Off The Paint,,
55507,Candy Paint,,
56012,Ric Flair Drip,,
56063,Say Something,Justin Timberlake - Say Something (Official Video) ft. Chris Stapleton,2125929.0
56308,Plain Jane,,
56508,Pills And Automobiles,,
56620,Outside Today,,
56777,Pick It Up,,
56999,Betrayed,,
57083,Singles You Up,,
57141,Round Here Buzz,,
57144,Red Roses,,
57264,Candy Paint,,
57628,Codeine Dreaming,,
57645,Sauce It Up,,
57666,Rubbin Off The Paint,,
58030,Rockstar,,
58789,Bad At Love,,
58830,Stir Fry,Migos - Stir Fry (Audio),487995.0
59283,All The Stars,"Kendrick Lamar, SZA - All The Stars (Audio)",1685423.0
59703,Plug Walk,,
59896,Pray For Me,"The Weeknd, Kendrick Lamar - Pray For Me (Audio)",3070722.0
59943,...Ready For It?,,
59974,Plain Jane,,
60237,Bartier Cardi,,
60554,River,Breaking Benjamin - Red Cold River (Audio Only),334173.0
60560,Ric Flair Drip,,
60784,Outside Today,,
60793,Pills And Automobiles,,
61059,Roll In Peace,,
61089,Pick It Up,,
61551,One Kiss,"Calvin Harris, Dua Lipa - One Kiss (Lyric Video)",1916118.0
61825,El Farsante,,
61934,Let You Down,NF - Let You Down,1774018.0
61964,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
62105,Dura,,
62241,No Excuses,Meghan Trainor - No Excuses,1034355.0
62600,Most People Are Good,,
62634,Esskeetit,,
62940,Lemon,,
63111,Drip,,
63445,Narcos,,
63558,MIC Drop,,
63866,Everyday,,
63890,Hardaway,,
63977,Nowadays,,
63989,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
64057,Get Along,,
64252,Kooda,,
64348,Echame La Culpa,,
64393,One Foot,,
64446,Ghostface Killers,,
64520,La Modelo,,
64590,KEKE,,
64636,Five More Minutes,,
64751,Ice Tray,,
64930,I Lived It,,
65007,I Like Me Better,,
65149,Moonlight,,
65233,For The First Time,,
65432,My Dawg,,
65522,Notice Me,,
65690,I Do,BØRNS - I Don't Want U Back,86519.0
65808,IDGAF,,
65853,Juice,,
65915,God's Plan,,
65971,Nice For What,Drake - Nice For What,24421448.0
66038,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
66536,Look Alive,,
66685,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
67074,Freaky Friday,,
67599,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
67718,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
67874,End Game,"Taylor Swift - End Game ft. Ed Sheeran, Future",14089954.0
67882,Gummo,,
68244,Let You Down,NF - Let You Down,1774018.0
68324,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
68514,I Fall Apart,,
68522,Friends,Camila Cabello - Real Friends (Audio),1796416.0
68641,In My Blood,Shawn Mendes - In My Blood,2822006.0
68796,Meant To Be,,
69142,How Long,,
69757,Marry Me,Thomas Rhett - Marry Me,851835.0
69835,Japan,,
70217,One Number Away,Luke Combs - One Number Away (Lyric Video),20956.0
70242,New Freezer,,
70425,Most People Are Good,,
70484,Lemon,,
70798,Dura,,
70990,Love Lies,Khalid & Normani - Love Lies (Audio),464170.0
71060,Echame La Culpa,,
71127,No Excuses,Meghan Trainor - No Excuses,1034355.0
71349,Five More Minutes,,
71352,Hardaway,,
71387,Nowadays,,
71413,Like I Loved You,,
71784,Rewrite The Stars,,
71785,Auto Pilot,,
72138,Sit Next To Me,,
72868,Boom!,,
73288,Anybody,,
74114,Black Panther,,
74115,Stranger Things,Kygo - Stranger Things ft. OneRepublic,753671.0
74481,Saint,,
74482,Corazon,,
74483,At The Club,,
74484,Take Back Home Girl,,
74485,Chun-Li,Nicki Minaj - Chun-Li,5294561.0
74486,All Girls Are The Same,,
74853,Betrayed,,
75235,Stir Fry,Migos - Stir Fry (Audio),487995.0
75236,Singles You Up,,
75649,Beautiful Trauma,P!nk - Beautiful Trauma (Official Video),2484089.0
75650,Bella y Sensual,,
76042,CC,,
76043,She's With Me,,
76044,Tempo,,
76045,Proud,,
76459,Pick It Up,,
76460,BoomTrap Protocol,,
77081,Get Along,,
77133,Most People Are Good,,
77363,My Dawg,,
77592,I Lived It,,
77838,Everything's Gonna Be Alright,,
77909,I Like Me Better,,
78085,Five More Minutes,,
78480,IDGAF,,
78707,Get You,,
78772,No Roots,,
78805,Faking It,,
78859,Never Enough,,
78945,For The First Time,,
78985,King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake - King's Dead",4014741.0
79001,Home,Nick Jonas - Home,172994.0
79060,Juice,,
79102,God's Plan,,
79103,Nice For What,Drake - Nice For What,24421448.0
79204,Finesse,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),4866576.0
79248,No Tears Left To Cry,Ariana Grande - No Tears Left To Cry,15873034.0
79249,Look Alive,,
79291,Freaky Friday,,
79475,Gummo,,
79626,MotorSport,"Migos, Nicki Minaj, Cardi B - MotorSport",4514272.0
79647,Him & I,G-Eazy & Halsey - Him & I (Official Video),1554273.0
79923,I Like It,,
79952,Mine,Avicii - Friend Of Mine (Original Video) ft. Vargas & Lagola,965999.0
80365,Japan,,
81174,In My Blood,Shawn Mendes - In My Blood,2822006.0
81889,Marry Me,Thomas Rhett - Marry Me,851835.0
81984,KOD,,
82153,New Freezer,,
